"gym_id","name","category","location","description","quantity"
"cd748d81-b9b3-4c0e-82ae-664265448ea7","Elliptical trainer","Cardio","2nd floor","Low-impact cardio machine simulating walking or running motion with arm handles for full-body engagement.","6"
"cd748d81-b9b3-4c0e-82ae-664265448ea7","Adaptive motion trainer","Cardio","2nd floor","Cardio machine that automatically adjusts stride length and motion path to match natural movement.","4"
"cd748d81-b9b3-4c0e-82ae-664265448ea7","Rowing machine","Cardio","2nd floor","Full-body cardio machine simulating the motion of rowing a boat.","6"
"cd748d81-b9b3-4c0e-82ae-664265448ea7","Stair climber","Cardio","2nd floor","Cardio machine simulating continuous stair climbing.","10"
"cd748d81-b9b3-4c0e-82ae-664265448ea7","Running machine","Cardio","2nd floor","Standard motorized treadmill for walking jogging or running at adjustable speeds and inclines.","12"
"cd748d81-b9b3-4c0e-82ae-664265448ea7","Upright bike","Cardio","2nd floor","Stationary bike with an upright seating position.","5"
"cd748d81-b9b3-4c0e-82ae-664265448ea7","Spin bike","Cardio","2nd floor","High-intensity stationary cycling bike with a weighted flywheel.","4"
"cd748d81-b9b3-4c0e-82ae-664265448ea7","Krank cycle","Cardio","2nd floor","Upper-body cardio machine operated entirely by arm cranking.","2"
"cd748d81-b9b3-4c0e-82ae-664265448ea7","Recumbent cycle","Cardio","2nd floor","Stationary bike with a reclined seat and back support.","3"
"cd748d81-b9b3-4c0e-82ae-664265448ea7","Assisted pull-up machine","Selectorized Machine","2nd floor","Machine that counterbalances body weight to assist with pull-up and dip movements.","1"
"cd748d81-b9b3-4c0e-82ae-664265448ea7","Lat pulldown machine","Selectorized Machine","2nd floor","Seated machine for pulling a bar down toward the chest.","2"
"cd748d81-b9b3-4c0e-82ae-664265448ea7","Chest press machine","Selectorized Machine","2nd floor","Selectorized machine for pressing movements targeting the pectorals anterior deltoids and triceps.","2"
"cd748d81-b9b3-4c0e-82ae-664265448ea7","Leg curl machine","Selectorized Machine","2nd floor","Seated or lying machine for isolated hamstring curling movements.","1"
"cd748d81-b9b3-4c0e-82ae-664265448ea7","Leg extension machine","Selectorized Machine","2nd floor","Seated machine for isolated quadriceps extension movements.","2"
"cd748d81-b9b3-4c0e-82ae-664265448ea7","Fixed pulldown machine","Selectorized Machine","2nd floor","Selectorized pulldown machine with a fixed bar path.","2"
"cd748d81-b9b3-4c0e-82ae-664265448ea7","Fixed pulldown","Selectorized Machine","2nd floor","Single-unit pulldown station with a fixed cable path.","1"
"cd748d81-b9b3-4c0e-82ae-664265448ea7","Shoulder press machine","Selectorized Machine","2nd floor","Selectorized overhead pressing machine targeting the deltoids and triceps.","2"
